A,Type
"It was safer to leave him in the mine.", 1
"It was a gold mine, wasn't it?", 1
"So I say the horses and chickens are mine and Alex says the other animals are his.", 0
"You may bring mine with you.", 0
"You see, when you die, you have your heaven and I have mine.", 0
"Mine is a very brutal world, he said.", 0
"Let him have mine, he has a long way to go!", 0
"You're no brother of mine, Darian.", 0
"You're mine either way.", 0
"Which one is mine?", 0
"It's your money, not mine.", 0
"The mine sits on a few hundred acres old man Dawkins owned.", 1
"Whose goals are we talking about here, mine or yours?", 0
"You were mine the night I let you drink from me.", 0
"Dean had no stomach for going any deeper than necessary and the water from the mine seepage was getting deeper.", 1
"Then I'll get mine fixed.", 0
"The principal mine in New South Wales is situated at Kingsgate, in the New England district, where the mineral is generally associated with molybdenum and gold.", 1
"I don't even know where that mine situated.", 1
"I created an army of vamps Eden used to overthrow her enemies while I overthrew mine.", 0
"Here, have a sip of mine.", 0
"It's Howie's head so it's his choice but the machines, are mine exclusively.", 1
"I want to explore mine first!", 0
"I thought I was marrying a man who had chosen a lifestyle compatible with mine.", 0
"I held both her hands in mine.", 1
"I don't mind trying to make your day as good as you make mine.", 0
"What was once mine is now ours.", 0
"Humphries is out of the system, according to a friend of mine.", 0
"The honor is mine.", 0
"I see your thoughts like mine.", 0
"In New South Wales the principal centre of this industry is Hillgrove, near Armidale, where Other the Eleanora Mine, one of the richest in the state, is minerals.", 1
"Tomorrow, she's mine, Memon ordered, and rose.", 0
"Which one of you is mine?", 0
"The ones where you tell me you're mine.", 0
"David is going to find out who the guy in the mine is.", 1
"The mine workings may also be flooded Flooding of by large bodies of underground water.", 1
"The more important mines are those of Cobar, where the Great Cobar mine produces annually nearly 4000 tons of refined copper.", 1
"You really are mine.", 0
"I only see other people's fates, not mine.", 0
"It could be a gold mine.", 1
"By using compressed air vitiation of the mine air is avoided, as well as all danger of fire or explosion of gas.", 1
"First off, I'm going to find out who owns that mine.", 1
"My grandmother is a mine of information about our family's history.", 4
"His works, now lost, were written in an attractive style and proved a mine of information to later writers.", 4
"Let's hear your reasoning—then I'll tell you mine.", 0
"Mine fires may sometimes be reached by bore-holes sunk for the purpose from the surface, and the burning workings below filled by flushing with culm and water.", 1
"He might not have known whose trail out of the tunnel he was sabotaging—just some trespasser in his precious mine.", 1
"Dawkins owns that mine!", 1
"Just like we were skirting the trespass law by poking around the mine.", 1
"In 1845 the celebrated Burra Burra mine was discovered.", 1
"It was found in a mine.", 1
"The time frame was right for it to be the body of Senior Dawkins's mine manager, slain there in 1961.", 2
"It was the first real words the two had exchanged since their meeting at the mine.", 1
"We had no business up at the mine.", 1
"If there were remains of a man in that mine, I would think you'd want to know who he was.", 2
"After all, someone tried to get us lost in that mine and sabotaged our Jeep.", 1
"It wouldn't be very smart to leave the body in your own mine property.", 1
"There is a coal mine at Daling.", 1
"Someone had a campfire and it looked as if the door on the mine was used for fire wood.", 1
"Let's say the mine was closed up for years and only recently broken into.", 1
"Or, sweet Edith wasn't so sweet and bashed Josh's head in and left him in the mine.", 1
"An exceptionally rich copper mine exists at Arghana Maden, but it is very imperfectly worked; galena mineral oil and silicious sand are also found.", 1
"You think the boy might not be mine?", 0
"On the 30th of July the Federal engineers exploded a mine under the hostile works, and Burnside's corps rushed to the assault.", 2
"The mine was sealed up for years.", 1
"Joseph asked Fred for a marker and cardboard and began making No Trespassing signs, signifying he planned a visit to the mine later.", 1
"Twenty-four hours after his hour-long downhill hike from the mine, Dean's stilts felt like he'd run a barefoot marathon on cobblestoned streets.", 1
"Mary & Joe Foreman were friends of mine.", 0
"It's a habit of mine, you know - watching after you.", 0
"Except that you're here to take something of mine.", 0
"Another old mine, discovered in 1853, is the New Idria located another 100 to.", 1
"Mansr closed the door as another mine exploded and guided the spacecraft farther off the ground.", 2
"Belgium imports nearly all of its ore, while Sweden and Spain export most of the ore which they mine.", 1
"This work is a mine of varied exegetical and philological details.", 4
"The Levant mine is the chief, the workings extending beneath the sea.", 1
"Did Paul ever talk about working a mine up there?", 1
"Long pants or grubby clothes weren't necessary, as Dean had no intention of entering the mine.", 1
"They'd been in the mine for forty years.", 1
"Where's the mine that everyone is so concerned about?", 1
"Is someone in the mine, do you suppose?", 1
"By that time, the mine was open anyway, so going in there wasn't breaking and entering.", 1
"We based the age on when the ownership of the mine changed hands and when it was last worked.", 1
"And don't you dare go in that mine!", 0
"He gave only a glance up the path to the mine before returning to his Jeep.", 1
"Besides, it's her word against mine.", 0
"I suppose it's an offer on the mine.", 1
"How did you locate the skeleton in the mine to be able to swap it?", 1
"Most of 'em worked the Idarado Mine.", 1
"A man named Dawkins bought the mine from the Rowland estate.", 1
"Then why would the heirs think the mine was so valuable to go to court over it?", 1
"The mine's like a thousand other holes in the ground—it's outlived its time.", 1
"Josh salted that mine and strung along the owner just enough to get a salary out of him.", 1
"But the mine has a second entrance.", 1
"They moved on to anyone involved with the mine property.", 1
"Gold, silver and copper ores, have been found in the state, and attempts have been made to mine them, without much success.", 3
"This mine proved to be very rich, and paid £800,000 in dividends to the original owners.", 1
"His wife motioned toward the mine entrance out of sight in the rocks and trees.", 1
"He has a key to the mine gate.", 1
"He wanted us to go into the mine with him but when he saw you coming he went up alone.", 1
"I told her about the back entrance to the mine.", 1
"Yes. But the mine was all tied up in litigation.", 1
"This guidebook is a mine of information.", 4
"That was his idea, not mine.", 0
"The right to mine for rubies by European methods and to levy royalties from persons working by native methods was leased to the Burma Ruby Company, Limited, in 1889.", 3
"In 1895 the British Aluminium Company was founded to mine bauxite and manufacture alumina in Ireland, to prepare the necessary electrodes.", 3
"When, in the course of centuries, the exhaustion of richer ores shall have forced us to mine, crush and concentrate mechanically or by magnetism the ores which contain only 2 or 3% of iron.", 3
"Attempts to mine the copper followed, and the prospectors and hunters who penetrated northward sent to the Cape reports of the existence of a great river whose waters always flowed.", 3
"To mine ore or coal at minimum cost it is necessary to work the mine plant at nearly or quite its full capacity and to avoid interruption and delays.", 3
"Free Miners of the Forest, who are entitled to mine for coal and iron ore, under leases, known as gales, granted by the principal agent.", 3
"Army bomb disposal experts, whoe said that mine was still capable of killing, safely detonated it during the night.", 2
"Mine the archives for detailed information.", 3
"The warship was destroyed by floating mines.", 2
"His left leg was blown off after he stepped on a mine.", 2
"Crater of Diamonds State Park is the only place in the world where visitors can mine their own diamonds.", 3
"Successfully negotiating the minefield, they discover that the ship is equipped with a time drive.", 2
"A mine exploded beneath the vehicle, and the crew were all killed.", 2
"Enemies lay explosive mines to destroy soldiers.", 2
"Soldier died when inactivating a mine.", 2
"If there is an abandoned cars, trucks or other vehicles may have detonated a mine, and more could be close by.", 2
"Soldier described how he felt when he stepped into a land mine which successfully inactivated.", 2
"When exiting a minefield be alert for signs that a mine may detonate", 2
